credit_score,credit__section,country,age,age_group,gender,age_group_gender,tenure,balance,balance_group,balance_per_age,balance_per_tenure,products_number,credit_card,salary_per_products,active_member,estimated_salary,salary_range,churn
550,Very poor,Germany,38,thirties,Male,thirties_Male,3,103391.38,rest,2720.8257894736844,34463.793333333335,1,0,90878.13,1,90878.13,high,0
776,Good,Germany,37,thirties,Female,thirties_Female,3,103769.22,rest,2804.5735135135137,34589.74,2,1,97049.56,0,194099.12,very high,0
698,Fair,Germany,44,forties,Male,forties_Male,11,116363.37,rest,2644.622045454545,10578.488181818182,2,1,99029.58,0,198059.16,very high,0
585,Very poor,Germany,36,thirties,Male,thirties_Male,6,146050.97,rest,4056.971388888889,24341.828333333335,2,0,43212.285,0,86424.57,high,0
788,Excellent,France,33,thirties,Female,thirties_Female,6,119839.69,zero,3631.505757575758,19973.281666666666,2,0,58489.095,0,116978.19,very high,0
655,Poor,Germany,41,forties,Male,forties_Male,9,125561.97,rest,3062.487073170732,13951.33,1,0,164040.94,0,164040.94,very high,1
601,Poor,Germany,42,forties,Male,forties_Male,2,98495.72,rest,2345.1361904761907,49247.86,1,1,40014.76,0,40014.76,medium,1
619,Poor,France,43,forties,Male,forties_Male,2,125211.92,rest,2911.9051162790697,62605.96,1,1,113410.49,1,113410.49,very high,0
656,Poor,France,45,forties,Male,forties_Male,6,127864.4,rest,2841.431111111111,21310.733333333334,1,1,87107.57,0,87107.57,high,0
725,Good,Germany,19,teenager,Male,teenager_Male,1,75888.2,rest,3994.115789473684,75888.2,1,0,45613.75,0,45613.75,medium,0
511,Very poor,Spain,66,sixties,Female,sixties_Female,5,119839.69,zero,1815.752878787879,23967.938000000002,1,1,1643.11,0,1643.11,low,1
614,Poor,France,51,fifties,Male,fifties_Male,5,40685.92,rest,797.763137254902,8137.183999999999,1,1,46775.28,1,46775.28,medium,0
742,Good,Germany,35,thirties,Male,thirties_Male,6,136857.0,rest,3910.2,22809.5,1,0,84509.57,0,84509.57,high,0
687,Fair,Germany,27,twenties,Female,twenties_Female,10,152328.88,rest,5641.810370370371,15232.888,2,0,63247.41,0,126494.82,very high,0
555,Very poor,Spain,33,thirties,Male,thirties_Male,2,56084.69,rest,1699.5360606060606,28042.345,2,0,89399.065,0,178798.13,very high,0
684,Fair,Spain,56,fifties,Male,fifties_Male,9,78707.16,rest,1405.485,8745.24,1,1,99398.36,1,99398.36,high,0
603,Poor,Germany,26,twenties,Male,twenties_Male,5,109166.37,rest,4198.706538461538,21833.273999999998,1,1,92840.67,1,92840.67,high,0
751,Good,Germany,36,thirties,Female,thirties_Female,7,169831.46,rest,4717.540555555555,24261.63714285714,2,1,13879.18,1,27758.36,low,0
581,Very poor,Germany,34,thirties,Female,thirties_Female,2,101633.04,rest,2989.207058823529,50816.52,1,1,110431.51,0,110431.51,very high,0
735,Good,Germany,43,forties,Male,forties_Male,11,123180.01,rest,2864.651395348837,11198.182727272726,2,1,98336.64,1,196673.28,very high,0
661,Fair,Germany,35,thirties,Female,thirties_Female,6,150725.53,rest,4306.443714285714,25120.921666666665,2,0,56828.425,1,113656.85,very high,0
675,Fair,France,21,twenties,Female,twenties_Female,9,98373.26,rest,4684.440952380952,10930.362222222222,1,1,18203.0,0,18203.0,low,0
738,Good,Germany,58,fifties,Male,fifties_Male,3,133745.44,rest,2305.9558620689654,44581.81333333333,4,1,7093.465,0,28373.86,low,1
813,Excellent,France,29,twenties,Male,twenties_Male,7,119839.69,zero,4132.403103448276,17119.955714285716,1,1,33953.87,0,33953.87,low,0
657,Poor,Spain,37,thirties,Female,thirties_Female,1,163607.18,rest,4421.815675675675,163607.18,1,0,44203.55,1,44203.55,medium,0
604,Poor,Germany,25,twenties,Female,twenties_Female,6,157780.84,rest,6311.2336,26296.806666666667,2,1,29213.405,1,58426.81,medium,0
519,Very poor,France,36,thirties,Male,thirties_Male,10,119839.69,zero,3328.880277777778,11983.969000000001,2,0,72781.2,1,145562.4,very high,0
735,Good,France,21,twenties,Female,twenties_Female,2,178718.19,rest,8510.39,89359.095,2,1,11194.0,0,22388.0,low,0
664,Fair,France,55,fifties,Male,fifties_Male,9,119839.69,zero,2178.9034545454547,13315.521111111111,2,1,69580.82,1,139161.64,very high,0
678,Fair,France,32,thirties,Female,thirties_Female,10,119839.69,zero,3744.9903125,11983.969000000001,1,1,148210.64,1,148210.64,very high,0
757,Good,Spain,33,thirties,Male,thirties_Male,6,77253.22,rest,2341.0066666666667,12875.536666666667,1,0,194239.63,1,194239.63,very high,0
416,Very poor,Germany,41,forties,Female,forties_Female,11,122189.66,rest,2980.235609756098,11108.15090909091,2,1,49150.805,0,98301.61,high,0
665,Fair,France,34,thirties,Female,thirties_Female,2,96645.54,rest,2842.515882352941,48322.77,2,0,85706.83,0,171413.66,very high,0
777,Good,France,32,thirties,Female,thirties_Female,3,119839.69,zero,3744.9903125,39946.56333333333,1,1,136458.19,0,136458.19,very high,1
543,Very poor,France,36,thirties,Female,thirties_Female,4,119839.69,zero,3328.880277777778,29959.9225,2,0,13009.795,0,26019.59,low,0
506,Very poor,France,34,thirties,Female,thirties_Female,5,90307.62,rest,2656.106470588235,18061.523999999998,1,1,159235.29,1,159235.29,very high,0
493,Very poor,France,46,forties,Female,forties_Female,5,119839.69,zero,2605.210652173913,23967.938000000002,2,1,953.83,0,1907.66,low,0
652,Poor,Spain,75,seventies,Female,seventies_Female,11,119839.69,zero,1597.8625333333334,10894.517272727273,2,1,57337.875,1,114675.75,very high,0
750,Good,Spain,22,twenties,Male,twenties_Male,4,121681.82,rest,5530.991818181818,30420.455,1,1,128643.35,0,128643.35,very high,1
729,Good,France,30,thirties,Male,thirties_Male,10,119839.69,zero,3994.656333333333,11983.969000000001,2,1,75934.675,0,151869.35,very high,0
646,Poor,France,46,forties,Female,forties_Female,5,119839.69,zero,2605.210652173913,23967.938000000002,3,1,31083.806666666667,0,93251.42,high,1
635,Poor,Germany,28,twenties,Female,twenties_Female,4,81623.67,rest,2915.1310714285714,20405.9175,2,1,78395.68,1,156791.36,very high,0
647,Poor,Spain,44,forties,Female,forties_Female,6,119839.69,zero,2723.6293181818182,19973.281666666666,3,1,58068.40666666667,1,174205.22,very high,1
808,Excellent,France,45,forties,Male,forties_Male,8,118626.55,rest,2636.145555555556,14828.31875,2,1,73566.23,0,147132.46,very high,0
524,Very poor,France,36,thirties,Female,thirties_Female,11,119839.69,zero,3328.880277777778,10894.517272727273,2,1,54807.285,0,109614.57,very high,0
769,Good,France,29,twenties,Male,twenties_Male,9,119839.69,zero,4132.403103448276,13315.521111111111,2,1,86145.305,1,172290.61,very high,0
730,Good,Spain,42,forties,Male,forties_Male,5,119839.69,zero,2853.3259523809525,23967.938000000002,2,0,42991.235,1,85982.47,high,0
515,Very poor,Spain,35,thirties,Male,thirties_Male,11,176273.95,rest,5036.398571428572,16024.904545454547,1,0,121277.78,1,121277.78,very high,0
773,Good,Spain,41,forties,Male,forties_Male,10,102827.44,rest,2507.986341463414,10282.744,1,0,64595.25,1,64595.25,high,0
814,Excellent,Germany,29,twenties,Male,twenties_Male,9,97086.4,rest,3347.806896551724,10787.377777777778,2,1,98638.065,1,197276.13,very high,0
710,Fair,Spain,22,twenties,Male,twenties_Male,9,119839.69,zero,5447.2586363636365,13315.521111111111,2,0,49822.52,0,99645.04,high,0
413,Very poor,France,34,thirties,Male,thirties_Male,10,119839.69,zero,3524.6967647058823,11983.969000000001,2,0,3267.09,0,6534.18,low,0
665,Fair,France,40,forties,Female,forties_Female,7,119839.69,zero,2995.99225,17119.955714285716,1,1,161848.03,1,161848.03,very high,0
623,Poor,France,44,forties,Female,forties_Female,7,119839.69,zero,2723.6293181818182,17119.955714285716,2,0,83581.215,0,167162.43,very high,0
738,Good,France,31,thirties,Male,thirties_Male,10,82674.15,rest,2666.908064516129,8267.414999999999,1,1,41970.72,0,41970.72,medium,0
528,Very poor,Spain,36,thirties,Male,thirties_Male,8,119839.69,zero,3328.880277777778,14979.96125,2,1,30268.28,0,60536.56,high,0
670,Fair,Spain,65,sixties,Female,sixties_Female,2,119839.69,zero,1843.6875384615385,59919.845,1,1,177655.68,1,177655.68,very high,1
622,Poor,Spain,46,forties,Female,forties_Female,5,107073.27,rest,2327.679782608696,21414.654000000002,2,1,15492.295,1,30984.59,low,1
582,Very poor,Germany,32,thirties,Male,thirties_Male,2,88938.62,rest,2779.331875,44469.31,1,1,10054.53,1,10054.53,low,0
785,Excellent,Germany,36,thirties,Female,thirties_Female,3,99806.85,rest,2772.4125000000004,33268.950000000004,1,0,36976.52,1,36976.52,medium,0
605,Poor,Spain,33,thirties,Male,thirties_Male,6,150092.8,rest,4548.266666666666,25015.466666666664,1,0,71862.79,0,71862.79,high,0
479,Very poor,Germany,35,thirties,Male,thirties_Male,10,92833.89,rest,2652.396857142857,9283.389,1,1,99449.86,0,99449.86,high,1
685,Fair,Germany,30,thirties,Male,thirties_Male,4,90536.81,rest,3017.8936666666664,22634.2025,1,0,63082.88,1,63082.88,high,0
538,Very poor,Germany,39,thirties,Male,thirties_Male,8,108055.1,rest,2770.64358974359,13506.8875,2,1,13615.63,0,27231.26,low,0
562,Very poor,France,42,forties,Male,forties_Male,3,100238.35,rest,2386.627380952381,33412.78333333333,1,0,86797.41,0,86797.41,high,0
675,Fair,Spain,36,thirties,Male,thirties_Male,10,106190.55,rest,2949.7375,10619.055,1,0,22994.32,1,22994.32,low,0
721,Good,Germany,28,twenties,Male,twenties_Male,10,154475.54,rest,5516.983571428572,15447.554,2,0,50650.47,1,101300.94,very high,1
628,Poor,Germany,30,thirties,Female,thirties_Female,10,132351.29,rest,4411.709666666667,13235.129,2,1,37084.565,1,74169.13,high,0
668,Fair,Germany,37,thirties,Female,thirties_Female,7,167864.4,rest,4536.875675675676,23980.62857142857,1,1,115638.29,0,115638.29,very high,0
506,Very poor,France,41,forties,Female,forties_Female,2,119839.69,zero,2922.919268292683,59919.845,2,1,15883.15,0,31766.3,low,0
524,Very poor,Germany,31,thirties,Female,thirties_Female,9,107818.63,rest,3478.0203225806454,11979.847777777779,1,1,199725.39,0,199725.39,very high,1
699,Fair,Germany,34,thirties,Male,thirties_Male,5,185173.81,rest,5446.288529411765,37034.762,2,1,60417.24,0,120834.48,very high,0
828,Excellent,France,34,thirties,Male,thirties_Male,9,129433.34,rest,3806.862941176472,14381.482222222221,2,0,19065.885,0,38131.77,medium,0
674,Fair,Spain,39,thirties,Male,thirties_Male,7,120193.42,rest,3081.882564102564,17170.48857142857,1,0,100130.95,0,100130.95,very high,0
656,Poor,France,39,thirties,Female,thirties_Female,7,119839.69,zero,3072.812564102564,17119.955714285716,2,1,70534.94,0,141069.88,very high,0
684,Fair,Germany,48,forties,Female,forties_Female,11,126384.42,rest,2633.00875,11489.492727272727,1,1,198129.36,1,198129.36,very high,0
625,Poor,France,28,twenties,Female,twenties_Female,4,119839.69,zero,4279.988928571429,29959.9225,1,0,183646.41,0,183646.41,very high,0
432,Very poor,France,42,forties,Male,forties_Male,10,152603.45,rest,3633.415476190477,15260.345000000001,1,1,110265.24,0,110265.24,very high,1
549,Very poor,France,52,fifties,Female,fifties_Female,2,119839.69,zero,2304.609423076923,59919.845,1,0,8636.05,1,8636.05,low,1
625,Poor,Germany,56,fifties,Male,fifties_Male,1,148507.24,rest,2651.915,148507.24,1,1,46824.08,0,46824.08,medium,1
828,Excellent,France,41,forties,Female,forties_Female,8,119839.69,zero,2922.919268292683,14979.96125,2,1,85689.385,0,171378.77,very high,0
770,Good,France,24,twenties,Male,twenties_Male,10,101827.07,rest,4242.794583333333,10182.707,1,1,167256.35,0,167256.35,very high,0
758,Good,France,34,thirties,Female,thirties_Female,4,119839.69,zero,3524.6967647058823,29959.9225,2,1,62113.08,1,124226.16,very high,0
795,Excellent,Germany,33,thirties,Female,thirties_Female,10,130862.43,rest,3965.5281818181816,13086.242999999999,1,1,114935.21,1,114935.21,very high,0
687,Fair,France,38,thirties,Male,thirties_Male,10,122570.87,rest,3225.549210526316,12257.087,1,1,35608.88,1,35608.88,medium,0
686,Fair,France,25,twenties,Male,twenties_Male,2,119839.69,zero,4793.5876,59919.845,2,0,8229.685,1,16459.37,low,0
789,Excellent,Germany,39,thirties,Male,thirties_Male,8,124828.46,rest,3200.729743589744,15603.5575,2,1,62205.54,1,124411.08,very high,0
589,Very poor,Germany,50,fifties,Female,fifties_Female,6,144895.05,rest,2897.901,24149.175,2,1,17470.615,1,34941.23,low,0
461,Very poor,Germany,34,thirties,Female,thirties_Female,6,63663.93,rest,1872.4685294117648,10610.655,1,0,167784.28,1,167784.28,very high,0
637,Poor,France,40,forties,Male,forties_Male,3,133463.1,rest,3336.5775000000003,44487.700000000004,1,0,93165.34,1,93165.34,high,0
584,Very poor,Spain,48,forties,Female,forties_Female,3,213146.2,rest,4440.545833333334,71048.73333333334,1,1,75161.25,0,75161.25,high,1
579,Very poor,Spain,35,thirties,Female,thirties_Female,2,129490.36,rest,3699.7245714285714,64745.18,2,0,4295.415,1,8590.83,low,1
756,Good,Germany,44,forties,Male,forties_Male,11,137452.09,rest,3123.911136363636,12495.644545454545,1,1,189543.9,0,189543.9,very high,0
663,Fair,France,34,thirties,Male,thirties_Male,8,119839.69,zero,3524.6967647058823,14979.96125,2,1,90213.62,1,180427.24,very high,0
682,Fair,France,43,forties,Female,forties_Female,6,125851.93,rest,2926.7890697674416,20975.321666666667,1,1,193318.33,1,193318.33,very high,0
793,Excellent,Spain,52,fifties,Male,fifties_Male,3,119839.69,zero,2304.609423076923,39946.56333333333,1,1,159123.82,0,159123.82,very high,1
691,Fair,France,31,thirties,Female,thirties_Female,6,40915.55,rest,1319.8564516129034,6819.258333333334,1,1,126213.84,0,126213.84,very high,1
485,Very poor,Spain,21,twenties,Female,twenties_Female,6,113157.22,rest,5388.439047619047,18859.536666666667,1,1,54141.5,1,54141.5,medium,0
635,Poor,Spain,29,twenties,Female,twenties_Female,9,138296.94,rest,4768.86,15366.326666666668,2,1,70537.755,0,141075.51,very high,0
650,Poor,France,37,thirties,Male,thirties_Male,6,106967.18,rest,2891.004864864865,17827.86333333333,1,0,24495.03,0,24495.03,low,0
735,Good,France,44,forties,Male,forties_Male,10,120681.63,rest,2742.7643181818185,12068.163,1,1,74836.34,0,74836.34,high,0
416,Very poor,France,32,thirties,Male,thirties_Male,1,119839.69,zero,3744.9903125,119839.69,2,0,439.435,1,878.87,low,0
754,Good,Spain,32,thirties,Female,thirties_Female,8,119839.69,zero,3744.9903125,14979.96125,2,1,44760.375,0,89520.75,high,0
535,Very poor,France,48,forties,Female,forties_Female,10,119839.69,zero,2496.660208333333,11983.969000000001,1,1,149892.79,0,149892.79,very high,1
716,Fair,Spain,42,forties,Male,forties_Male,9,119839.69,zero,2853.3259523809525,13315.521111111111,2,1,90400.21,0,180800.42,very high,0
539,Very poor,France,37,thirties,Male,thirties_Male,3,127609.59,rest,3448.9078378378376,42536.53,1,1,98646.22,0,98646.22,high,0
614,Poor,France,43,forties,Female,forties_Female,7,119839.69,zero,2786.969534883721,17119.955714285716,2,1,54520.765,1,109041.53,very high,0
706,Fair,Spain,57,fifties,Male,fifties_Male,8,119839.69,zero,2102.450701754386,14979.96125,1,1,17941.16,0,17941.16,low,1
758,Good,France,33,thirties,Female,thirties_Female,8,119839.69,zero,3631.505757575758,14979.96125,2,0,41498.235,0,82996.47,high,0
586,Very poor,Spain,28,twenties,Female,twenties_Female,3,119839.69,zero,4279.988928571429,39946.56333333333,2,1,46033.675,1,92067.35,high,0
646,Poor,France,73,seventies,Female,seventies_Female,7,97259.25,rest,1332.3184931506848,13894.17857142857,1,0,104719.66,1,104719.66,very high,0
631,Poor,Germany,33,thirties,Female,thirties_Female,5,123246.7,rest,3734.7484848484846,24649.34,1,0,112687.57,0,112687.57,very high,0
717,Fair,Spain,22,twenties,Female,twenties_Female,7,101060.25,rest,4593.647727272727,14437.17857142857,1,0,84699.56,1,84699.56,high,0
684,Fair,France,30,thirties,Male,thirties_Male,3,119839.69,zero,3994.656333333333,39946.56333333333,2,1,41736.91,0,83473.82,high,0
800,Excellent,France,49,forties,Female,forties_Female,8,108007.36,rest,2204.231836734694,13500.92,1,0,47125.11,0,47125.11,medium,0
721,Good,Spain,36,thirties,Female,thirties_Female,3,119839.69,zero,3328.880277777778,39946.56333333333,2,1,53488.9,1,106977.8,very high,0
683,Fair,Spain,29,twenties,Male,twenties_Male,1,133702.89,rest,4610.444482758621,133702.89,1,1,55582.54,0,55582.54,medium,1
660,Poor,Germany,31,thirties,Male,thirties_Male,10,125189.75,rest,4038.379032258064,12518.975,2,1,69937.215,1,139874.43,very high,0
704,Fair,Germany,24,twenties,Female,twenties_Female,8,113034.22,rest,4709.759166666667,14129.2775,1,1,162503.48,0,162503.48,very high,1
615,Poor,Spain,41,forties,Female,forties_Female,10,109013.23,rest,2658.859268292683,10901.323,1,1,196499.96,0,196499.96,very high,0
667,Fair,Spain,39,thirties,Female,thirties_Female,3,119839.69,zero,3072.812564102564,39946.56333333333,2,1,20360.62,0,40721.24,medium,1
682,Fair,Germany,24,twenties,Male,twenties_Male,10,57929.81,rest,2413.742083333333,5792.981,2,0,26567.15,0,53134.3,medium,0
484,Very poor,France,29,twenties,Female,twenties_Female,5,130114.39,rest,4486.703103448276,26022.878,1,1,164017.89,0,164017.89,very high,0
628,Poor,Germany,27,twenties,Male,twenties_Male,6,95826.49,rest,3549.1292592592595,15971.081666666667,2,1,77998.48,0,155996.96,very high,0
480,Very poor,Germany,44,forties,Male,forties_Male,11,129608.57,rest,2945.649318181818,11782.597272727273,1,1,5472.7,0,5472.7,low,1
578,Very poor,France,30,thirties,Male,thirties_Male,5,169462.09,rest,5648.736333333333,33892.418,1,1,112187.11,0,112187.11,very high,0
512,Very poor,France,40,forties,Male,forties_Male,6,119839.69,zero,2995.99225,19973.281666666666,2,1,73228.915,1,146457.83,very high,0
484,Very poor,Spain,35,thirties,Female,thirties_Female,8,133868.21,rest,3824.806,16733.52625,1,1,27286.1,1,27286.1,low,0
510,Very poor,France,30,thirties,Female,thirties_Female,1,119839.69,zero,3994.656333333333,119839.69,2,1,65276.735,1,130553.47,very high,0
606,Poor,Germany,36,thirties,Male,thirties_Male,6,190479.48,rest,5291.096666666667,31746.58,2,0,89675.945,0,179351.89,very high,0
597,Very poor,Spain,40,forties,Female,forties_Female,9,101993.12,rest,2549.828,11332.568888888889,1,0,94774.12,1,94774.12,high,0
754,Good,Germany,55,fifties,Female,fifties_Female,4,161608.81,rest,2938.342,40402.2025,1,1,8080.85,0,8080.85,low,1
850,Excellent,Spain,45,forties,Female,forties_Female,3,122311.21,rest,2718.026888888889,40770.403333333335,1,1,19482.5,1,19482.5,low,0
510,Very poor,France,65,sixties,Male,sixties_Male,3,119839.69,zero,1843.6875384615385,39946.56333333333,2,1,24035.805,1,48071.61,medium,0
778,Good,Germany,45,forties,Female,forties_Female,2,162150.42,rest,3603.342666666667,81075.21,2,1,87265.635,0,174531.27,very high,0
636,Poor,France,42,forties,Male,forties_Male,3,119839.69,zero,2853.3259523809525,39946.56333333333,2,1,27735.39,1,55470.78,medium,0
804,Excellent,France,50,fifties,Female,fifties_Female,5,119839.69,zero,2396.7938,23967.938000000002,1,1,8546.87,1,8546.87,low,1
514,Very poor,France,32,thirties,Male,thirties_Male,9,119839.69,zero,3744.9903125,13315.521111111111,2,1,47928.59,0,95857.18,high,0
730,Good,France,39,thirties,Female,thirties_Female,2,99010.67,rest,2538.735128205128,49505.335,1,1,194945.8,0,194945.8,very high,0
525,Very poor,Spain,37,thirties,Female,thirties_Female,1,119839.69,zero,3238.9105405405408,119839.69,1,0,131521.72,1,131521.72,very high,0
616,Poor,Spain,30,thirties,Male,thirties_Male,6,119839.69,zero,3994.656333333333,19973.281666666666,2,0,98054.255,1,196108.51,very high,0
687,Fair,Germany,34,thirties,Female,thirties_Female,8,111388.18,rest,3276.1229411764702,13923.5225,2,1,74282.38,0,148564.76,very high,0
715,Fair,France,41,forties,Female,forties_Female,9,56214.85,rest,1371.0939024390243,6246.094444444444,2,0,46491.305,0,92982.61,high,1
512,Very poor,France,36,thirties,Female,thirties_Female,4,84327.77,rest,2342.438055555556,21081.9425,2,1,8837.68,0,17675.36,low,0
479,Very poor,France,40,forties,Male,forties_Male,2,119839.69,zero,2995.99225,59919.845,2,0,57498.215,0,114996.43,very high,0
601,Poor,France,32,thirties,Male,thirties_Male,9,93012.89,rest,2906.6528125,10334.765555555556,1,1,86957.42,0,86957.42,high,0
580,Very poor,Spain,29,twenties,Male,twenties_Male,10,61710.44,rest,2127.946206896552,6171.044,2,1,64038.9,0,128077.8,very high,0
807,Excellent,France,35,thirties,Male,thirties_Male,4,174790.15,rest,4994.004285714285,43697.5375,1,1,600.36,1,600.36,low,0
