credit_score,section of credit_score,country,gender,age,age_group,tenure,balance,balance_group,age_balance,balance_per_tenure,products_number,credit_card,active_member,estimated_salary,salary_range,churn
619,Poor,France,Male,43,forties,1,125211.92,rest,2911.9051162790697,125211.92,1,1,1,113410.49,middle,0
656,Poor,France,Male,45,forties,5,127864.4,rest,2841.431111111111,25572.88,1,1,0,87107.57,low_middle,0
725,Good,Germany,Male,19,teenager,0,75888.2,rest,3994.115789473684,0.0,1,0,0,45613.75,low,0
511,Very poor,Spain,Female,66,sixties,4,119839.69,zero,1815.752878787879,0.0,1,1,0,1643.11,low,1
614,Poor,France,Male,51,fifties,4,40685.92,rest,797.763137254902,10171.48,1,1,1,46775.28,low,0
742,Good,Germany,Male,35,thirties,5,136857.0,rest,3910.2,27371.4,1,0,0,84509.57,low_middle,0
687,Fair,Germany,Female,27,twenties,9,152328.88,rest,5641.810370370371,16925.431111111113,2,0,0,126494.82,middle,0
555,Very poor,Spain,Male,33,thirties,1,56084.69,rest,1699.5360606060606,56084.69,2,0,0,178798.13,high,0
684,Fair,Spain,Male,56,fifties,8,78707.16,rest,1405.4850000000001,9838.395,1,1,1,99398.36,low_middle,0
603,Poor,Germany,Male,26,twenties,4,109166.37,rest,4198.706538461538,27291.5925,1,1,1,92840.67,low_middle,0
751,Good,Germany,Female,36,thirties,6,169831.46,rest,4717.540555555555,28305.24333333333,2,1,1,27758.36,low,0
581,Very poor,Germany,Female,34,thirties,1,101633.04,rest,2989.207058823529,101633.04,1,1,0,110431.51,middle,0
735,Good,Germany,Male,43,forties,10,123180.01,rest,2864.651395348837,12318.001,2,1,1,196673.28,high,0
661,Fair,Germany,Female,35,thirties,5,150725.53,rest,4306.443714285714,30145.106,2,0,1,113656.85,middle,0
675,Fair,France,Female,21,twenties,8,98373.26,rest,4684.440952380952,12296.6575,1,1,0,18203.0,low,0
738,Good,Germany,Male,58,fifties,2,133745.44,rest,2305.9558620689654,66872.72,4,1,0,28373.86,low,1
813,Excellent,France,Male,29,twenties,6,119839.69,zero,4132.403103448276,0.0,1,1,0,33953.87,low,0
657,Poor,Spain,Female,37,thirties,0,163607.18,rest,4421.815675675675,0.0,1,0,1,44203.55,low,0
604,Poor,Germany,Female,25,twenties,5,157780.84,rest,6311.2336,31556.168,2,1,1,58426.81,low_middle,0
519,Very poor,France,Male,36,thirties,9,119839.69,zero,3328.880277777778,0.0,2,0,1,145562.4,middle,0
735,Good,France,Female,21,twenties,1,178718.19,rest,8510.39,178718.19,2,1,0,22388.0,low,0
664,Fair,France,Male,55,fifties,8,119839.69,zero,2178.9034545454547,0.0,2,1,1,139161.64,middle,0
678,Fair,France,Female,32,thirties,9,119839.69,zero,3744.9903125,0.0,1,1,1,148210.64,middle,0
757,Good,Spain,Male,33,thirties,5,77253.22,rest,2341.0066666666667,15450.644,1,0,1,194239.63,high,0
416,Very poor,Germany,Female,41,forties,10,122189.66,rest,2980.235609756098,12218.966,2,1,0,98301.61,low_middle,0
665,Fair,France,Female,34,thirties,1,96645.54,rest,2842.515882352941,96645.54,2,0,0,171413.66,high,0
777,Good,France,Female,32,thirties,2,119839.69,zero,3744.9903125,0.0,1,1,0,136458.19,middle,1
543,Very poor,France,Female,36,thirties,3,119839.69,zero,3328.880277777778,0.0,2,0,0,26019.59,low,0
506,Very poor,France,Female,34,thirties,4,90307.62,rest,2656.106470588235,22576.905,1,1,1,159235.29,high,0
493,Very poor,France,Female,46,forties,4,119839.69,zero,2605.210652173913,0.0,2,1,0,1907.66,low,0
652,Poor,Spain,Female,75,seventies,10,119839.69,zero,1597.8625333333334,0.0,2,1,1,114675.75,middle,0
750,Good,Spain,Male,22,twenties,3,121681.82,rest,5530.991818181818,40560.60666666667,1,1,0,128643.35,middle,1
729,Good,France,Male,30,thirties,9,119839.69,zero,3994.6563333333334,0.0,2,1,0,151869.35,high,0
646,Poor,France,Female,46,forties,4,119839.69,zero,2605.210652173913,0.0,3,1,0,93251.42,low_middle,1
635,Poor,Germany,Female,28,twenties,3,81623.67,rest,2915.1310714285714,27207.89,2,1,1,156791.36,high,0
647,Poor,Spain,Female,44,forties,5,119839.69,zero,2723.6293181818182,0.0,3,1,1,174205.22,high,1
808,Excellent,France,Male,45,forties,7,118626.55,rest,2636.145555555556,16946.65,2,1,0,147132.46,middle,0
524,Very poor,France,Female,36,thirties,10,119839.69,zero,3328.880277777778,0.0,2,1,0,109614.57,middle,0
769,Good,France,Male,29,twenties,8,119839.69,zero,4132.403103448276,0.0,2,1,1,172290.61,high,0
730,Good,Spain,Male,42,forties,4,119839.69,zero,2853.3259523809525,0.0,2,0,1,85982.47,low_middle,0
515,Very poor,Spain,Male,35,thirties,10,176273.95,rest,5036.398571428572,17627.395,1,0,1,121277.78,middle,0
773,Good,Spain,Male,41,forties,9,102827.44,rest,2507.9863414634146,11425.271111111111,1,0,1,64595.25,low_middle,0
814,Excellent,Germany,Male,29,twenties,8,97086.4,rest,3347.806896551724,12135.8,2,1,1,197276.13,high,0
710,Fair,Spain,Male,22,twenties,8,119839.69,zero,5447.2586363636365,0.0,2,0,0,99645.04,low_middle,0
413,Very poor,France,Male,34,thirties,9,119839.69,zero,3524.6967647058823,0.0,2,0,0,6534.18,low,0
665,Fair,France,Female,40,forties,6,119839.69,zero,2995.9922500000002,0.0,1,1,1,161848.03,high,0
623,Poor,France,Female,44,forties,6,119839.69,zero,2723.6293181818182,0.0,2,0,0,167162.43,high,0
738,Good,France,Male,31,thirties,9,82674.15,rest,2666.908064516129,9186.016666666666,1,1,0,41970.72,low,0
528,Very poor,Spain,Male,36,thirties,7,119839.69,zero,3328.880277777778,0.0,2,1,0,60536.56,low_middle,0
670,Fair,Spain,Female,65,sixties,1,119839.69,zero,1843.6875384615385,0.0,1,1,1,177655.68,high,1
622,Poor,Spain,Female,46,forties,4,107073.27,rest,2327.679782608696,26768.3175,2,1,1,30984.59,low,1
582,Very poor,Germany,Male,32,thirties,1,88938.62,rest,2779.331875,88938.62,1,1,1,10054.53,low,0
785,Excellent,Germany,Female,36,thirties,2,99806.85,rest,2772.4125000000004,49903.425,1,0,1,36976.52,low,0
605,Poor,Spain,Male,33,thirties,5,150092.8,rest,4548.266666666666,30018.56,1,0,0,71862.79,low_middle,0
479,Very poor,Germany,Male,35,thirties,9,92833.89,rest,2652.3968571428572,10314.876666666669,1,1,0,99449.86,low_middle,1
685,Fair,Germany,Male,30,thirties,3,90536.81,rest,3017.8936666666664,30178.936666666665,1,0,1,63082.88,low_middle,0
538,Very poor,Germany,Male,39,thirties,7,108055.1,rest,2770.64358974359,15436.442857142858,2,1,0,27231.26,low,0
562,Very poor,France,Male,42,forties,2,100238.35,rest,2386.627380952381,50119.175,1,0,0,86797.41,low_middle,0
675,Fair,Spain,Male,36,thirties,9,106190.55,rest,2949.7375,11798.95,1,0,1,22994.32,low,0
721,Good,Germany,Male,28,twenties,9,154475.54,rest,5516.983571428572,17163.948888888888,2,0,1,101300.94,middle,1
628,Poor,Germany,Female,30,thirties,9,132351.29,rest,4411.709666666667,14705.69888888889,2,1,1,74169.13,low_middle,0
668,Fair,Germany,Female,37,thirties,6,167864.4,rest,4536.875675675676,27977.4,1,1,0,115638.29,middle,0
506,Very poor,France,Female,41,forties,1,119839.69,zero,2922.919268292683,0.0,2,1,0,31766.3,low,0
524,Very poor,Germany,Female,31,thirties,8,107818.63,rest,3478.0203225806454,13477.32875,1,1,0,199725.39,high,1
699,Fair,Germany,Male,34,thirties,4,185173.81,rest,5446.288529411765,46293.4525,2,1,0,120834.48,middle,0
828,Excellent,France,Male,34,thirties,8,129433.34,rest,3806.8629411764705,16179.1675,2,0,0,38131.77,low,0
674,Fair,Spain,Male,39,thirties,6,120193.42,rest,3081.882564102564,20032.236666666668,1,0,0,100130.95,low_middle,0
656,Poor,France,Female,39,thirties,6,119839.69,zero,3072.812564102564,0.0,2,1,0,141069.88,middle,0
684,Fair,Germany,Female,48,forties,10,126384.42,rest,2633.00875,12638.442,1,1,1,198129.36,high,0
625,Poor,France,Female,28,twenties,3,119839.69,zero,4279.988928571429,0.0,1,0,0,183646.41,high,0
432,Very poor,France,Male,42,forties,9,152603.45,rest,3633.4154761904765,16955.93888888889,1,1,0,110265.24,middle,1
549,Very poor,France,Female,52,fifties,1,119839.69,zero,2304.609423076923,0.0,1,0,1,8636.05,low,1
625,Poor,Germany,Male,56,fifties,0,148507.24,rest,2651.915,0.0,1,1,0,46824.08,low,1
828,Excellent,France,Female,41,forties,7,119839.69,zero,2922.919268292683,0.0,2,1,0,171378.77,high,0
770,Good,France,Male,24,twenties,9,101827.07,rest,4242.794583333333,11314.11888888889,1,1,0,167256.35,high,0
758,Good,France,Female,34,thirties,3,119839.69,zero,3524.6967647058823,0.0,2,1,1,124226.16,middle,0
795,Excellent,Germany,Female,33,thirties,9,130862.43,rest,3965.5281818181816,14540.27,1,1,1,114935.21,middle,0
687,Fair,France,Male,38,thirties,9,122570.87,rest,3225.5492105263156,13618.985555555557,1,1,1,35608.88,low,0
686,Fair,France,Male,25,twenties,1,119839.69,zero,4793.5876,0.0,2,0,1,16459.37,low,0
789,Excellent,Germany,Male,39,thirties,7,124828.46,rest,3200.729743589744,17832.637142857144,2,1,1,124411.08,middle,0
589,Very poor,Germany,Female,50,fifties,5,144895.05,rest,2897.901,28979.01,2,1,1,34941.23,low,0
461,Very poor,Germany,Female,34,thirties,5,63663.93,rest,1872.4685294117646,12732.786,1,0,1,167784.28,high,0
637,Poor,France,Male,40,forties,2,133463.1,rest,3336.5775000000003,66731.55,1,0,1,93165.34,low_middle,0
584,Very poor,Spain,Female,48,forties,2,213146.2,rest,4440.545833333334,106573.1,1,1,0,75161.25,low_middle,1
579,Very poor,Spain,Female,35,thirties,1,129490.36,rest,3699.7245714285714,129490.36,2,0,1,8590.83,low,1
756,Good,Germany,Male,44,forties,10,137452.09,rest,3123.911136363636,13745.209,1,1,0,189543.9,high,0
663,Fair,France,Male,34,thirties,7,119839.69,zero,3524.6967647058823,0.0,2,1,1,180427.24,high,0
682,Fair,France,Female,43,forties,5,125851.93,rest,2926.7890697674416,25170.386,1,1,1,193318.33,high,0
793,Excellent,Spain,Male,52,fifties,2,119839.69,zero,2304.609423076923,0.0,1,1,0,159123.82,high,1
691,Fair,France,Female,31,thirties,5,40915.55,rest,1319.8564516129034,8183.110000000001,1,1,0,126213.84,middle,1
485,Very poor,Spain,Female,21,twenties,5,113157.22,rest,5388.439047619047,22631.444,1,1,1,54141.5,low_middle,0
635,Poor,Spain,Female,29,twenties,8,138296.94,rest,4768.86,17287.1175,2,1,0,141075.51,middle,0
650,Poor,France,Male,37,thirties,5,106967.18,rest,2891.004864864865,21393.436,1,0,0,24495.03,low,0
735,Good,France,Male,44,forties,9,120681.63,rest,2742.7643181818185,13409.07,1,1,0,74836.34,low_middle,0
416,Very poor,France,Male,32,thirties,0,119839.69,zero,3744.9903125,0.0,2,0,1,878.87,low,0
754,Good,Spain,Female,32,thirties,7,119839.69,zero,3744.9903125,0.0,2,1,0,89520.75,low_middle,0
535,Very poor,France,Female,48,forties,9,119839.69,zero,2496.6602083333332,0.0,1,1,0,149892.79,high,1
716,Fair,Spain,Male,42,forties,8,119839.69,zero,2853.3259523809525,0.0,2,1,0,180800.42,high,0
539,Very poor,France,Male,37,thirties,2,127609.59,rest,3448.9078378378376,63804.795,1,1,0,98646.22,low_middle,0
614,Poor,France,Female,43,forties,6,119839.69,zero,2786.969534883721,0.0,2,1,1,109041.53,middle,0
706,Fair,Spain,Male,57,fifties,7,119839.69,zero,2102.450701754386,0.0,1,1,0,17941.16,low,1
758,Good,France,Female,33,thirties,7,119839.69,zero,3631.505757575758,0.0,2,0,0,82996.47,low_middle,0
586,Very poor,Spain,Female,28,twenties,2,119839.69,zero,4279.988928571429,0.0,2,1,1,92067.35,low_middle,0
646,Poor,France,Female,73,seventies,6,97259.25,rest,1332.3184931506848,16209.875,1,0,1,104719.66,middle,0
631,Poor,Germany,Female,33,thirties,4,123246.7,rest,3734.7484848484846,30811.675,1,0,0,112687.57,middle,0
717,Fair,Spain,Female,22,twenties,6,101060.25,rest,4593.647727272727,16843.375,1,0,1,84699.56,low_middle,0
684,Fair,France,Male,30,thirties,2,119839.69,zero,3994.6563333333334,0.0,2,1,0,83473.82,low_middle,0
800,Excellent,France,Female,49,forties,7,108007.36,rest,2204.231836734694,15429.622857142856,1,0,0,47125.11,low,0
721,Good,Spain,Female,36,thirties,2,119839.69,zero,3328.880277777778,0.0,2,1,1,106977.8,middle,0
683,Fair,Spain,Male,29,twenties,0,133702.89,rest,4610.444482758621,0.0,1,1,0,55582.54,low_middle,1
660,Poor,Germany,Male,31,thirties,9,125189.75,rest,4038.3790322580644,13909.972222222224,2,1,1,139874.43,middle,0
704,Fair,Germany,Female,24,twenties,7,113034.22,rest,4709.759166666667,16147.745714285717,1,1,0,162503.48,high,1
615,Poor,Spain,Female,41,forties,9,109013.23,rest,2658.859268292683,12112.58111111111,1,1,0,196499.96,high,0
667,Fair,Spain,Female,39,thirties,2,119839.69,zero,3072.812564102564,0.0,2,1,0,40721.24,low,1
682,Fair,Germany,Male,24,twenties,9,57929.81,rest,2413.742083333333,6436.645555555555,2,0,0,53134.3,low_middle,0
484,Very poor,France,Female,29,twenties,4,130114.39,rest,4486.703103448276,32528.5975,1,1,0,164017.89,high,0
628,Poor,Germany,Male,27,twenties,5,95826.49,rest,3549.1292592592595,19165.298000000003,2,1,0,155996.96,high,0
480,Very poor,Germany,Male,44,forties,10,129608.57,rest,2945.649318181818,12960.857,1,1,0,5472.7,low,1
578,Very poor,France,Male,30,thirties,4,169462.09,rest,5648.736333333333,42365.5225,1,1,0,112187.11,middle,0
512,Very poor,France,Male,40,forties,5,119839.69,zero,2995.9922500000002,0.0,2,1,1,146457.83,middle,0
484,Very poor,Spain,Female,35,thirties,7,133868.21,rest,3824.8059999999996,19124.03,1,1,1,27286.1,low,0
510,Very poor,France,Female,30,thirties,0,119839.69,zero,3994.6563333333334,0.0,2,1,1,130553.47,middle,0
606,Poor,Germany,Male,36,thirties,5,190479.48,rest,5291.096666666667,38095.896,2,0,0,179351.89,high,0
597,Very poor,Spain,Female,40,forties,8,101993.12,rest,2549.828,12749.14,1,0,1,94774.12,low_middle,0
754,Good,Germany,Female,55,fifties,3,161608.81,rest,2938.342,53869.60333333333,1,1,0,8080.85,low,1
850,Excellent,Spain,Female,45,forties,2,122311.21,rest,2718.026888888889,61155.605,1,1,1,19482.5,low,0
510,Very poor,France,Male,65,sixties,2,119839.69,zero,1843.6875384615385,0.0,2,1,1,48071.61,low,0
778,Good,Germany,Female,45,forties,1,162150.42,rest,3603.342666666667,162150.42,2,1,0,174531.27,high,0
636,Poor,France,Male,42,forties,2,119839.69,zero,2853.3259523809525,0.0,2,1,1,55470.78,low_middle,0
804,Excellent,France,Female,50,fifties,4,119839.69,zero,2396.7938,0.0,1,1,1,8546.87,low,1
514,Very poor,France,Male,32,thirties,8,119839.69,zero,3744.9903125,0.0,2,1,0,95857.18,low_middle,0
730,Good,France,Female,39,thirties,1,99010.67,rest,2538.735128205128,99010.67,1,1,0,194945.8,high,0
525,Very poor,Spain,Female,37,thirties,0,119839.69,zero,3238.9105405405408,0.0,1,0,1,131521.72,middle,0
616,Poor,Spain,Male,30,thirties,5,119839.69,zero,3994.6563333333334,0.0,2,0,1,196108.51,high,0
687,Fair,Germany,Female,34,thirties,7,111388.18,rest,3276.1229411764702,15912.59714285714,2,1,0,148564.76,middle,0
715,Fair,France,Female,41,forties,8,56214.85,rest,1371.0939024390243,7026.85625,2,0,0,92982.61,low_middle,1
512,Very poor,France,Female,36,thirties,3,84327.77,rest,2342.438055555556,28109.256666666668,2,1,0,17675.36,low,0
479,Very poor,France,Male,40,forties,1,119839.69,zero,2995.9922500000002,0.0,2,0,0,114996.43,middle,0
601,Poor,France,Male,32,thirties,8,93012.89,rest,2906.6528125,11626.61125,1,1,0,86957.42,low_middle,0
580,Very poor,Spain,Male,29,twenties,9,61710.44,rest,2127.9462068965518,6856.715555555556,2,1,0,128077.8,middle,0
807,Excellent,France,Male,35,thirties,3,174790.15,rest,4994.004285714285,58263.38333333333,1,1,1,600.36,low,0
616,Poor,Spain,Female,32,thirties,6,119839.69,zero,3744.9903125,0.0,2,1,1,43001.46,low,0
721,Good,Germany,Male,37,thirties,3,107720.64,rest,2911.3686486486486,35906.88,1,1,1,158591.12,high,0
501,Very poor,France,Male,57,fifties,10,119839.69,zero,2102.450701754386,0.0,2,1,1,47847.19,low,0
521,Very poor,France,Male,35,thirties,6,96423.84,rest,2754.966857142857,16070.64,1,1,0,10488.44,low,0
850,Excellent,Spain,Male,30,thirties,2,141040.01,rest,4701.333666666667,70520.005,1,1,1,5978.2,low,0
759,Good,France,Male,42,forties,4,105420.18,rest,2510.0042857142857,26355.045,1,0,1,121409.06,middle,0
516,Very poor,Spain,Male,50,fifties,5,119839.69,zero,2396.7938,0.0,1,0,1,146145.93,middle,1
711,Fair,France,Female,38,thirties,2,129022.06,rest,3395.3173684210524,64511.03,2,1,1,14374.86,low,1
512,Very poor,Spain,Male,33,thirties,3,176666.62,rest,5353.533939393939,58888.87333333333,1,1,0,94670.77,low_middle,0
550,Very poor,France,Male,37,thirties,3,119839.69,zero,3238.9105405405408,0.0,1,1,1,179670.31,high,0
608,Poor,Spain,Female,41,forties,3,89763.84,rest,2189.3619512195123,29921.28,1,0,0,199304.74,high,1
618,Poor,France,Male,34,thirties,5,134954.53,rest,3969.250882352941,26990.906,1,1,1,151954.39,high,0
643,Poor,France,Male,45,forties,5,119839.69,zero,2663.1042222222222,0.0,1,1,0,142513.5,middle,1
671,Fair,France,Male,45,forties,2,106376.85,rest,2363.9300000000003,53188.425,1,0,1,158264.62,high,0
689,Fair,Germany,Male,33,thirties,2,161814.64,rest,4903.47393939394,80907.32,2,1,0,169381.9,high,0
603,Poor,France,Male,31,thirties,8,119839.69,zero,3865.796451612903,0.0,2,1,1,169915.02,high,0
620,Poor,France,Female,41,forties,9,119839.69,zero,2922.919268292683,0.0,2,0,0,88852.47,low_middle,0
676,Fair,France,Female,34,thirties,1,63095.01,rest,1855.7355882352942,63095.01,1,1,1,40645.81,low,0
572,Very poor,Germany,Male,26,twenties,4,118287.01,rest,4549.500384615384,29571.7525,2,0,0,60427.3,low_middle,0
668,Fair,Germany,Male,47,forties,7,106854.21,rest,2273.493829787234,15264.887142857144,1,0,1,157959.02,high,1
695,Fair,France,Male,46,forties,7,49512.55,rest,1076.3597826086957,7073.221428571429,1,1,0,133007.34,middle,0
730,Good,Spain,Female,33,thirties,9,119839.69,zero,3631.505757575758,0.0,2,0,0,176576.62,high,0
807,Excellent,France,Male,43,forties,1,105799.32,rest,2460.4493023255814,105799.32,2,1,0,34888.04,low,1
592,Very poor,France,Male,54,fifties,8,119839.69,zero,2219.2535185185184,0.0,1,1,1,28737.71,low,1
726,Good,France,Female,31,thirties,9,114722.05,rest,3700.7112903225807,12746.894444444444,2,1,1,98178.57,low_middle,0
514,Very poor,Spain,Male,30,thirties,7,119839.69,zero,3994.6563333333334,0.0,1,0,1,125010.24,middle,0
567,Very poor,France,Male,42,forties,2,119839.69,zero,2853.3259523809525,0.0,2,1,1,167984.61,high,0
850,Excellent,France,Male,33,thirties,10,119839.69,zero,3631.505757575758,0.0,1,1,0,4861.72,low,1
671,Fair,Germany,Male,45,forties,6,99564.22,rest,2212.5382222222224,16594.036666666667,1,1,1,108872.45,middle,1
670,Fair,France,Male,37,thirties,4,170557.91,rest,4609.673243243244,42639.4775,2,1,0,198252.88,high,0
694,Fair,France,Female,30,thirties,9,119839.69,zero,3994.6563333333334,0.0,2,1,1,26960.31,low,0
547,Very poor,Germany,Female,39,thirties,6,74596.15,rest,1912.7217948717948,12432.691666666666,3,1,1,85746.52,low_middle,1
751,Good,Germany,Male,50,fifties,2,96888.39,rest,1937.7678,48444.195,1,1,0,77206.25,low_middle,1
594,Very poor,Germany,Female,29,twenties,3,130830.22,rest,4511.386896551724,43610.07333333333,1,1,0,61048.53,low_middle,0
673,Fair,France,Male,72,seventies,1,119839.69,zero,1664.440138888889,0.0,2,0,1,111981.19,middle,0
610,Poor,France,Male,40,forties,0,119839.69,zero,2995.9922500000002,0.0,2,1,0,62232.6,low_middle,0
512,Very poor,France,Female,37,thirties,1,119839.69,zero,3238.9105405405408,0.0,2,0,1,156105.03,high,0
767,Good,Germany,Male,20,twenties,3,119714.25,rest,5985.7125,39904.75,2,0,1,150135.38,high,0
585,Very poor,France,Female,67,sixties,5,113978.97,rest,1701.178656716418,22795.794,2,0,1,93146.11,low_middle,0
763,Good,Germany,Male,42,forties,6,100160.75,rest,2384.779761904762,16693.458333333332,1,1,0,33462.94,low,1
712,Fair,France,Female,29,twenties,2,119839.69,zero,4132.403103448276,0.0,1,1,1,144375.0,middle,0
539,Very poor,Germany,Female,43,forties,3,116220.5,rest,2702.8023255813955,38740.16666666666,3,1,0,55803.96,low_middle,1
668,Fair,France,Female,46,forties,2,119839.69,zero,2605.210652173913,0.0,3,1,0,89048.46,low_middle,1
703,Fair,France,Male,28,twenties,2,81173.83,rest,2899.065357142857,40586.915,2,0,1,162812.16,high,0
